,Name,Price,Stores,Rating,Votes,Type,Connection,Colors,Switches
68,Microsoft Wireless Comfort Desktop 5050,59.87 ,14,4.2,12,Keyboard and Mouse Set,USB,0,
69,Keywin Mini Rii i8+,8.99 ,3,4.5,2,Keyboard with Touchpad,Bluetooth,0,
70,Element KB-260WMS v2,12.90 ,12,4.1,9,Keyboard and Mouse Set,USB,0,
71,Conceptum CBM502,7.22 ,12,3.8,5,Keyboard and Mouse Set,USB,0,
72,Nedis KBNM100BK,7.97 ,21,4.0,1,Keyboard Only,USB,0,
73,Element KB-145U,4.50 ,21,0.0,0,Keyboard Only,USB,0,
74,Logitech MK540 Advanced,62.41 ,11,4.0,4,Keyboard Only,USB,0,
75,Tracer Reef,6.75 ,2,5.0,2,Keyboard Only,USB,0,
76,Element KB-150UMS v2.0,8.80 ,0,4.8,4,Keyboard and Mouse Set,USB,0,
77,NOD Valuepro KMS-002,8.90 ,29,0.0,0,Keyboard and Mouse Set,USB,0,
78,HP Pavilion 300,22.05 ,17,3.5,4,Keyboard Only,USB,0,
79,Turbo-X MC 110 Red,12.90 ,0,5.0,1,Keyboard and Mouse Set,USB,0,
80,Dell KM7120W,72.73 ,10,4.0,1,Keyboard and Mouse Set,Bluetooth,0,
81,Microsoft Desktop 600 for Business,22.99 ,8,4.5,4,Keyboard and Mouse Set,USB,0,
82,Element KB-800W,19.50 ,28,2.3,3,Keyboard Only,USB,0,
83,Element KB-150U v2.0,8.90 ,0,5.0,2,Keyboard Only,USB,0,
84,Microsoft Wireless Desktop 3050,49.30 ,19,3.7,18,Keyboard and Mouse Set,USB,0,
85,Natec NKL-0968,26.30 ,3,4.3,6,Keyboard with Touchpad,USB,0,
86,Alcatroz Xplorer Dock 2 BT White,34.67 ,4,4.9,7,Keyboard with Touchpad,Bluetooth / Dock,2,
87,Microsoft Surface Go Signature Type Cover Black,102.05 ,11,5.0,1,Keyboard Only,Dock,2,
88,Logitech K400 Plus White,39.50 ,7,4.3,62,Keyboard with Touchpad,USB,2,
89,Microsoft Wired Keyboard 600 White,13.95 ,17,3.9,37,Keyboard Only,USB,2,
90,Mobilis Retro Black,27.14 ,5,5.0,1,Keyboard Only,USB,2,
91,Logitech MK470 White,46.70 ,4,4.3,4,Keyboard and Mouse Set,USB,2,
92,Logitech MK470 Graphite,46.93 ,10,4.3,4,Keyboard and Mouse Set,USB,2,
93,Mobilis RK908 Gold,23.90 ,2,4.5,2,Keyboard Only,Bluetooth,3,
94,Dell KM636 White,29.90 ,17,3.7,19,Keyboard and Mouse Set,USB,2,
95,Logitech K380 Pink,49.90 ,2,4.7,39,Keyboard Only,Bluetooth,3,
96,Trust Muto Silent,10.48 ,4,4.2,5,Keyboard Only,USB,0,
97,HAMA Cortino Wireless,24.90 ,0,5.0,1,Keyboard and Mouse Set,USB,0,
98,Ασύρματο mini Qwerty Πληκτρολόγιο Μαύρο,10.56 ,17,0.0,0,Keyboard with Touchpad,Bluetooth / USB,0,
99,Trust Nado,22.60 ,14,3.4,9,Keyboard Only,Bluetooth,0,
100,NOD W-KMS-103,14.90 ,13,4.0,1,Keyboard and Mouse Set,USB,0,
101,DAS Keyboard 4 Professional,166.80 ,0,5.0,1,Keyboard Only,USB,0,
102,i8+ Backlit,9.82 ,10,4.0,1,Keyboard with Touchpad,USB,0,
103,Logitech MK240 Nano Black,24.50 ,4,3.9,18,Keyboard and Mouse Set,USB,0,
104,HP Premium,67.80 ,0,5.0,1,Keyboard Only,USB,0,
105,Microsoft Wired Desktop 600,22.25 ,26,4.6,5,Keyboard and Mouse Set,USB,0,
106,Logitech K375s Multi-Device,39.32 ,14,3.4,7,Keyboard Only,Bluetooth / USB,0,
107,HAMA Cortino,13.27 ,3,5.0,1,Keyboard and Mouse Set,USB,0,
108,Lamtech LAM021295,8.26 ,9,0.0,0,Keyboard Only,USB,0,
109,C120,8.74 ,28,3.0,11,Keyboard and Mouse Set,USB,0,
110,Logitech K600 TV,99.99 ,0,5.0,1,Keyboard with Touchpad,USB,0,
111,Logitech Wireless Combo MK330,38.00 ,30,3.5,11,Keyboard and Mouse Set,USB,0,
112,HP K2500,19.70 ,14,4.2,6,Keyboard Only,USB,0,
113,Rebeltec Millenium,15.00 ,4,4.0,4,Keyboard and Mouse Set,USB,0,
114,Conceptum CB402 Black,5.17 ,14,0.0,0,Keyboard and Mouse Set,USB,0,
115,Lamtech LAM020854,14.40 ,11,3.3,4,Keyboard and Mouse Set,USB,0,
116,Trust Nova,16.50 ,16,0.0,0,Keyboard and Mouse Set,USB,0,
117,i8 Backlit,10.86 ,11,0.0,0,Keyboard with Touchpad,USB,0,
118,Logitech K400 Professional Wireless Touch Keyboard,32.00 ,4,4.5,2,Keyboard with Touchpad,USB,0,
119,Microsoft Wireless Sculpt Ergonomic Desktop & Mouse,100.80 ,15,4.0,24,Keyboard and Mouse Set,USB,0,
