,Name,Price,Stores,Rating,Votes,Switches,Colors
675,Sumvision Kane PRO LED,37.21 ,8,0.0,0,Membrane,0
676,Trust GXT 280,15.90 ,6,3.3,10,Membrane,0
677,Approx Blizzard,26.60 ,0,0.0,0,Membrane,0
678,Keep Out F89PRO,47.70 ,0,0.0,0,Membrane,0
679,Mars Gaming MK1,5.46 ,0,0.0,0,Membrane,0
680,Approx Appblizzard,22.51 ,0,3.0,2,Membrane,0
681,Roccat Isku,149.00 ,0,4.3,3,Membrane,0
682,Aula Gaming Combo Set,50.37 ,8,0.0,0,Membrane,0
683,SpeedLink Parthica Core,42.40 ,5,0.0,0,Membrane,0
684,Sumvision Nemesis Stryder,32.74 ,8,0.0,0,Membrane,0
685,Keep Out F90,38.90 ,0,0.0,0,Membrane,0
686,Perixx PX-1100,87.42 ,8,0.0,0,Membrane,0
687,Media-Tech Cobra Pro Multimedia,16.99 ,10,1.0,1,Membrane,0
688,SpeedLink Rapax,27.50 ,3,0.0,0,Membrane,0
689,Omega Varr VK-1,15.00 ,0,3.0,4,Membrane,0
690,A4Tech Bloody & Sades Gaming set,156.07 ,0,1.0,2,LK Libra Brown,0
691,Esperanza TK105,6.80 ,9,1.0,1,Membrane,0
692,Keep Out F90E Gaming USB,39.90 ,5,2.3,6,Membrane,0
693,Gigabyte K8100,75.00 ,0,0.0,0,Membrane,0
694,Approx Quasar,29.00 ,0,1.0,1,Membrane,0
695,A4Tech X7 G100,17.00 ,0,0.0,0,Keypad,0
