,Name,Price,Stores,Rating,Votes,Switches,Colors
399,MSI Vigor GK50 Low Profile (Kailh Box White),92.00 ,2,0.0,0,Kailh Box White,0
400,Logic LC-STARR-TWO,12.65 ,2,0.0,0,Key Lights,0
401,Cougar 700K,179.00 ,0,5.0,1,Cherry MX Red,0
402,Spartan Gear Chimera,17.98 ,11,3.2,5,Membrane,0
403,Logitech G915 TKL (GL Tactile),229.00 ,0,0.0,0,GL Tactile,0
404,Andowl Q-803,23.99 ,6,0.0,0,Membrane,0
405,Modecom MC-5008,14.44 ,2,0.0,0,Key Lights,0
406,Trust GXT 870,59.98 ,2,4.0,5,GTX White,0
407,Weibo WB-580,16.69 ,4,0.0,0,Key Lights,0
408,CoolerMaster CK530 (Gateron Brown),85.54 ,3,5.0,3,Gateron Brown,0
409,Xtrike Me GK-907,45.00 ,5,0.0,0,Membrane,0
410,Marvo KG909,37.30 ,4,0.0,0,Outemu Blue,0
411,CoolerMaster Devastator 3 Plus,49.90 ,0,0.0,0,Key Lights,0
412,FanTech Fighter K611,18.00 ,7,3.6,7,Membrane,0
413,iMice KM-680,17.60 ,0,0.0,0,Key Lights,0
414,Genesis Thor 420 RGB (Custom Blue),52.23 ,1,0.0,0,Custom Blue,0
415,Esperanza Aspis,4.66 ,1,0.0,0,Membrane,0
416,Logitech G513 Carbon (Romer-G Linear),139.00 ,0,4.5,24,Romer-G Linear,0
417,Omega Varr VMK3BK11,39.85 ,7,0.0,0,Jixian Blue,0
418,Cougar Vantar MX (Custom Red),46.27 ,1,0.0,0,Custom Red,0
419,Docooler HXSJ V100,45.90 ,0,0.0,0,Membrane,0
420,Motospeed GK81 (Custom Blue),62.90 ,0,0.0,0,Custom Blue,0
421,Motospeed K96 Grey (Zeus Optical),38.99 ,3,4.4,24,Zeus Optical,0
422,Lenovo Legion K500 RGB,115.90 ,4,0.0,0,Outemu Red,0
423,Havit KB-78162,12.90 ,14,4.0,1,Membrane,0
424,Havit G400V,14.89 ,6,4.5,2,Membrane,0
425,Esperanza Shadow Green,7.23 ,5,0.0,0,Membrane,2
426,Motospeed CK80 Silver (Custom Gold),49.00 ,6,5.0,2,Custom Gold,2
427,Redragon Asura White,26.00 ,3,4.3,4,Membrane,2
428,Sbox K-15 Red,8.49 ,3,0.0,0,Membrane,2
429,Corsair K95 RGB Platinum Black (Cherry MX Speed),198.00 ,4,4.6,18,Cherry MX Speed,2
430,Gembird KB-UML3-01-W,9.15 ,7,3.8,6,Membrane,2
431,Motospeed CK80 (Custom Silver),58.90 ,0,5.0,2,Custom Silver,2
432,Sades K13 Sickle (Kailh Blue),39.90 ,4,4.0,1,Kailh Blue,0
433,Logitech G915 TKL (GL Linear),229.00 ,0,0.0,0,GL Linear,0
434,Logitech G915 TKL (GL Clicky),229.00 ,0,0.0,0,GL Clicky,0
435,Turbo-X Nemesis N60 (Custom Blue),49.90 ,0,0.0,0,Custom Blue,0
436,Glorious PC Gaming Race The GMMK TKL (Gateron Brown),129.99 ,0,0.0,0,Gateron Brown,0
437,Gamesir VX2 AimSwitch (Custom Red),149.90 ,0,0.0,0,Custom Red,0
438,Motospeed GK89 (Outemu Blue),53.61 ,3,4.0,1,Outemu Blue,0
439,Active Jet K-6002,26.23 ,0,0.0,0,Key Lights,0
440,Turbo-X Sirin II,29.90 ,0,0.0,0,Key Lights,0
441,Aula F2058 (Black Switch),40.00 ,0,0.0,0,Custom Mechanical,0
442,R-Horse FC-723,22.89 ,3,3.5,2,Membrane,0
443,Motospeed K11 Green,26.23 ,3,0.0,0,Membrane,0
444,Motospeed K95 (Outemu Red),29.79 ,3,4.1,7,Outemu Red,0
445,Aula F2058 (Blue Switch),40.00 ,0,0.0,0,Custom Blue,0
446,Aula S2016 (Blue Switch) Silver,35.00 ,0,0.0,0,Custom Blue,0
447,QPAD MK40,59.90 ,0,0.0,0,Key Lights,0
448,Blow KP-105,11.90 ,0,0.0,0,Full Size,0
449,Zeroground K33,19.79 ,4,3.3,3,Membrane,0
450,CoolerMaster CK350 (Outemu Red),67.22 ,3,5.0,5,Outemu Red,0
451,Motospeed K95 (Outemu Black),29.79 ,3,4.1,7,Outemu Black,0
452,Esperanza Tirions Blue,6.02 ,5,3.0,1,Key Lights,0
453,Logitech G815 Lightsync RGB (GL Linear),213.30 ,0,5.0,1,GL Linear,0
454,QPAD MK95 Pro,199.00 ,0,0.0,0,Key Lights,0
455,MSI Vigor GK60,77.99 ,3,0.0,0,Cherry MX Red,0
456,Esperanza Vortex,26.67 ,3,0.0,0,Custom Mechanical,0
457,Corsair K70 RGB MK.2 SE White (Cherry MX Speed),225.00 ,0,3.0,1,Cherry MX Speed,0
458,Trust GXT 285 Advanced,39.80 ,0,5.0,1,Membrane,0
459,Tracer Ofis,5.26 ,2,0.0,0,Membrane,0
460,Defender SM-950,13.90 ,0,0.0,0,Full Size,0
461,Marvo KG914,35.50 ,0,0.0,0,Custom Blue,0
462,Havit KB473L,99.00 ,3,0.0,0,Custom Mechanical,0
463,Razer Huntsman Gears 5 Edition (Razer Clicky),119.00 ,0,0.0,0,Razer Clicky,0
464,Aula Moon Slasher,20.39 ,3,0.0,0,Key Lights,0
465,Krom Kuma,76.10 ,3,0.0,0,Key Lights,0
466,Esperanza Kestrel,12.99 ,9,0.0,0,Membrane,0
467,Motospeed CK88 (Outemu Red),79.47 ,0,4.0,1,Outemu Red,0
468,Das KeyBoard 4 Ultimate (Cherry MX Blue),165.00 ,3,5.0,1,Cherry MX Blue,0
469,Patriot Viper V765,90.57 ,3,0.0,0,Kailh Box Red,0
470,CoolerMaster MasterKeys Pro L RGB (Cherry MX Brown),159.80 ,1,4.4,5,Cherry MX Brown,0
471,Motospeed CK700 Pink (Zeus Optical),54.64 ,2,0.0,0,Zeus Optical,0
472,Omega Varr RGB VMK88B,39.90 ,0,0.0,0,Xinda Blue,0
473,Razer Blackwidow Chroma Tournament Edition v2 (Yellow Switches),139.00 ,0,0.0,0,Razer Yellow,0
474,iMice AN-300,14.00 ,3,0.0,0,Membrane,0
475,Roccat Vulcan 80,155.00 ,0,4.0,1,Titan Tactile,0
